tokens,tags,polarities
"['courteous', 'treatment', 'from', 'every', 'employee']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['poor', 'service', 'recovery', 'after', 'incident']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['some', 'food', 'remnants', 'on', 'table']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['standing', 'area', 'was', 'often', 'over', 'filled']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['visible', 'grime', 'on', 'door', 'handles']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['useful', 'next', 'train', 'indicators', 'worked']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['gleaming', 'metal', 'surfaces', 'were', 'noted']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['some', 'areas', 'felt', 'too', 'isolated']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['staff', 'enforced', 'safety', 'rules', 'politely']","[1, 0, 1, 2, 0]","[2, -1, 2, 2, -1]"
"['waiting', 'zones', 'had', 'comfortable', 'seating']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['ticket', 'validator', 'failed', 'to', 'scan']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['timely', 'updates', 'on', 'service', 'disruptions']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['light', 'smudges', 'on', 'some', 'glass', 'surfaces']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 1, 1]"
"['display', 'text', 'was', 'large', 'and', 'clear']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['windows', 'provided', 'a', 'good', 'view']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['a', 'few', 'minor', 'smudges', 'on', 'windows']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 1]"
"['the', 'carriage', 'air', 'was', 'too', 'dry']","[0, 1, 2, 0, 0, 0]","[-1, 0, 0, -1, -1, -1]"
"['lifts', 'were', 'quick', 'and', 'available']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['staff', 'were', 'too', 'busy', 'socializing']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['staff', 'patrols', 'increase', 'safety', 'perception']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['visible', 'security', 'cameras', 'deter', 'crime']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['used', 'tissues', 'seen', 'on', 'seats']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['found', 'some', 'old', 'food', 'wrappers', 'underneath']","[0, 0, 1, 2, 2, 0]","[-1, -1, 0, 0, 0, -1]"
"['aisles', 'blocked', 'by', 'large', 'bags']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['clear', 'platform', 'edge', 'markings', 'helped']","[0, 1, 2, 2, 0]","[-1, 2, 2, 2, -1]"
"['fire', 'safety', 'gear', 'looked', 'modern']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['train', 'cabin', 'was', 'freshly', 'aired', 'out']","[1, 2, 0, 0, 0, 0]","[2, 2, -1, -1, -1, -1]"
"['sparkling', 'clean', 'train', 'grab', 'handles']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['dusty', 'seats', 'need', 'a', 'wipe']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['vending', 'machines', 'had', 'poor', 'selection']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['trip', 'hazard', 'from', 'uneven', 'tiles']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['no', 'facilities', 'seen']","[0, 1, 0]","[-1, 0, -1]"
"['windows', 'were', 'smudged', 'and', 'quite', 'dirty']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['temperature', 'control', 'was', 'just', 'right']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['parents', 'should', 'watch', 'kids', 'closely']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['staff', 'were', 'always', 'efficient', 'and', 'friendly']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['bright', 'and', 'clear', 'display', 'panels']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['no', 'family', 'friendly', 'facilities', 'seen']","[0, 1, 2, 2, 0]","[-1, 0, 0, 0, -1]"
"['bumpy', 'journey', 'made', 'me', 'sick']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['windows', 'were', 'large', 'offering', 'views']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['very', 'clean', 'station', 'today']","[0, 0, 1, 0]","[-1, -1, 2, -1]"
"['braille', 'on', 'signs', 'aided', 'navigation']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['station', 'felt', 'very', 'well', 'policed']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['overall', 'a', 'very', 'serene', 'ride']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['seat', 'height', 'was', 'not', 'ideal']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['unmarked', 'wet', 'floor', 'was', 'a', 'hazard']","[0, 0, 1, 0, 0, 1]","[-1, -1, 0, -1, -1, 0]"
"['sparkling', 'clean', 'train', 'windows', 'today']","[0, 0, 0, 1, 0]","[-1, -1, -1, 2, -1]"
"['station', 'felt', 'secure', 'and', 'safe']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['good', 'crowd', 'management', 'during', 'rush', 'hour']","[0, 1, 2, 0, 0, 0]","[-1, 2, 2, -1, -1, -1]"
"['no', 'obvious', 'water', 'refill', 'facility']","[0, 1, 2, 2, 0]","[-1, 0, 0, 0, -1]"
"['station', 'had', 'a', 'persistent', 'musty', 'smell']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['found', 'some', 'hair', 'on', 'floor']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['poor', 'attitude', 'from', 'the', 'cashier']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['floor', 'felt', 'greasy', 'under', 'foot']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['pleasant', 'low', 'level', 'of', 'track', 'noise']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['staff', 'appeared', 'disinterested', 'and', 'bored']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['carriage', 'had', 'a', 'neutral', 'clean', 'smell']","[1, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1]"
"['escalators', 'were', 'always', 'running', 'smoothly']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['smooth', 'and', 'steady', 'acceleration', 'felt', 'good']","[0, 0, 0, 1, 0, 0]","[-1, -1, -1, 2, -1, -1]"
"['quiet', 'enough', 'for', 'a', 'conversation']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['clear', 'announcements', 'for', 'every', 'stop']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['lighting', 'was', 'a', 'bit', 'too', 'clinical']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['cabin', 'temperature', 'was', 'very', 'pleasant']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['train', 'had', 'a', 'constant', 'loud', 'hum']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['generally', 'good', 'station', 'cleanliness']","[0, 0, 1, 2]","[-1, -1, 2, 2]"
"['some', 'muddy', 'prints', 'near', 'entrance']","[0, 0, 0, 0, 1]","[-1, -1, -1, 0, 0]"
"['timely', 'alerts', 'about', 'service', 'issues']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['train', 'had', 'a', 'very', 'bad', 'odor']","[1, 0, 0, 0, 0, 1]","[0, -1, -1, -1, -1, 0]"
"['windows', 'were', 'passably', 'clean', 'for', 'viewing']","[1, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1]"
"['staff', 'were', 'too', 'busy', 'socializing']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['hand', 'dryers', 'in', 'toilets', 'broken']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['floor', 'looked', 'as', 'if', 'not', 'swept']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['clean', 'and', 'well', 'swept', 'platform']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['lighting', 'was', 'adequate', 'not', 'too', 'intrusive']","[1, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1]"
"['cabin', 'felt', 'a', 'bit', 'too', 'warm', 'today']","[1, 0, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1, -1]"
"['strong', 'bleach', 'smell', 'was', 'very', 'noticeable']","[0, 0, 1, 0, 0, 0]","[-1, -1, 1, -1, -1, -1]"
"['rubbish', 'under', 'the', 'seat', 'again']","[0, 0, 0, 1, 0]","[-1, -1, -1, 0, -1]"
"['aircond', 'setting', 'felt', 'optimally', 'cool']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['platform', 'had', 'good', 'weather', 'protection']","[1, 0, 0, 1, 2]","[2, -1, -1, 2, 2]"
"['excellent', 'attention', 'to', 'detail', 'cleaning']","[1, 2, 0, 0, 1]","[2, 2, -1, -1, 2]"
"['internal', 'lighting', 'was', 'too', 'harsh']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['seats', 'were', 'too', 'hard', 'for', 'long', 'rides']","[1, 0, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1, -1]"
"['refund', 'application', 'was', 'needlessly', 'complex']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['pristine', 'condition', 'of', 'the', 'platform']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['safety', 'measures', 'looked', 'standard']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['seats', 'felt', 'like', 'a', 'cloud']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['no', 'power', 'outlets', 'for', 'passengers']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['new', 'lifts', 'are', 'very', 'efficient']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['platform', 'edge', 'was', 'too', 'slippery']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['seat', 'width', 'was', 'a', 'bit', 'tight']","[1, 2, 0, 0, 0, 0]","[0, 0, -1, -1, -1, -1]"
"['always', 'receive', 'friendly', 'efficient', 'service']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['toilets', 'smelled', 'badly', 'this', 'morning']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['cobwebs', 'in', 'station', 'corners', '.']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['no', 'help', 'offered', 'with', 'directions']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['refund', 'took', 'far', 'too', 'long']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['felt', 'uncomfortable', 'with', 'the', 'dim', 'passages']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['unlit', 'parking', 'garage', 'felt', 'creepy']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['carriage', 'felt', 'fresh', 'and', 'aired']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['signage', 'was', 'visible', 'and', 'standard']","[1, 0, 0, 0, 0]","[1, -1, -1, -1, -1]"
"['digital', 'displays', 'were', 'crisp', 'clear']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['station', 'layout', 'is', 'very', 'intuitive']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['information', 'provided', 'was', 'accurate', 'helpful']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['gleaming', 'and', 'spotless', 'interiors', 'today']","[0, 0, 0, 1, 0]","[-1, -1, -1, 2, -1]"
"['general', 'state', 'of', 'cleanliness', 'poor']","[1, 0, 0, 2, 0]","[0, -1, -1, 0, -1]"
"['information', 'booth', 'always', 'well', 'staffed']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['station', 'bins', 'were', 'not', 'full', 'or', 'empty']","[1, 2, 0, 0, 0, 0, 0]","[1, 1, -1, -1, -1, -1, -1]"
"['trash', 'was', 'managed', 'poorly', 'near', 'food', 'stalls']","[1, 0, 0, 0, 0, 1, 2]","[0, -1, -1, -1, -1, 0, 0]"
"['station', 'felt', 'grubby', 'and', 'uninviting']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['sound', 'level', 'was', 'bearable']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['overflowing', 'trash', 'bins', 'everywhere', '.']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['uneven', 'station', 'flooring', 'was', 'a', 'trip', 'risk']","[0, 1, 2, 0, 0, 0, 0]","[-1, 0, 0, -1, -1, -1, -1]"
"['lack', 'of', 'lumbar', 'support', 'sadly']","[0, 0, 1, 2, 0]","[-1, -1, 0, 0, -1]"
"['vibrations', 'were', 'a', 'bit', 'strong']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['no', 'visible', 'cobwebs', 'or', 'dust']","[0, 0, 1, 0, 1]","[-1, -1, 2, -1, 2]"
"['all', 'escalators', 'were', 'working', 'fine']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['no', 'clear', 'guidance', 'during', 'an', 'evacuation']","[0, 0, 1, 0, 2, 2]","[-1, -1, 0, -1, 0, 0]"
"['very', 'soothing', 'ride', 'to', 'work']","[0, 0, 1, 0, 0]","[-1, -1, 2, -1, -1]"
"['seat', 'condition', 'was', 'fairly', 'average']","[1, 2, 0, 0, 0]","[1, 1, -1, -1, -1]"
"['vending', 'machines', 'had', 'poor', 'selection']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['some', 'dried', 'drink', 'spills', 'on', 'seats']","[0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, 0]"
"['impeccable', 'carriage', 'cleanliness', 'noted', '.']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['train', 'had', 'a', 'foul', 'smell']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['excellent', 'handling', 'of', 'my', 'lost', 'item']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['problem', 'resolved', 'quickly', 'by', 'supervisor']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['smooth', 'door', 'closing', 'prevents', 'accidents']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['station', 'corners', 'needed', 'good', 'scrub']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['internal', 'lighting', 'level', 'was', 'standard']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['courteous', 'and', 'professional', 'service', 'from', 'all']","[0, 0, 0, 1, 0, 0]","[-1, -1, -1, 2, -1, -1]"
"['no', 'sticky', 'residue', 'on', 'tables']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['toilets', 'were', 'surprisingly', 'clean', '.']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['station', 'employees', 'were', 'always', 'approachable']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['overall', 'station', 'appearance', 'was', 'unremarkable']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['station', 'appearance', 'was', 'unremarkable']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['ride', 'smoothness', 'was', 'okay']","[1, 2, 0, 0]","[1, 1, -1, -1]"
"['water', 'coolers', 'dispensed', 'clean', 'water']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['difficult', 'to', 'get', 'clear', 'answers']","[0, 0, 0, 1, 2]","[-1, -1, -1, 0, 0]"
"['secure', 'feeling', 'late', 'at', 'night']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['staff', 'were', 'not', 'properly', 'trained']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['impeccable', 'train', 'interior', 'was', 'noted']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['very', 'smooth', 'train', 'ride', 'today']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['floor', 'needs', 'a', 'good', 'mop']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['uncomfortable', 'jolts', 'at', 'every', 'station']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['useful', 'interactive', 'maps', 'were', 'available']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['display', 'screens', 'had', 'excellent', 'clarity']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['some', 'steps', 'are', 'cracked', 'badly']","[0, 1, 0, 0, 0]","[-1, 0, -1, -1, -1]"
"['modern', 'and', 'spacious', 'lift', 'interiors']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['toilet', 'had', 'a', 'very', 'damp', 'floor']","[1, 0, 0, 0, 0, 2]","[0, -1, -1, -1, -1, 0]"
"['secure', 'and', 'reliable', 'door', 'mechanisms']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['station', 'felt', 'very', 'well', 'policed']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['toilet', 'had', 'a', 'very', 'unpleasant', 'stench']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['overall', 'sense', 'of', 'security', 'good']","[1, 2, 2, 2, 0]","[2, 2, 2, 2, -1]"
"['sense', 'of', 'security', 'good']","[1, 2, 2, 0]","[2, 2, 2, -1]"
"['no', 'dirt', 'visible', 'in', 'the', 'corners']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['no', 'luggage', 'racks', 'on', 'the', 'train']","[0, 1, 2, 0, 0, 0]","[-1, 0, 0, -1, -1, -1]"
"['no', 'foul', 'odors', 'in', 'carriage']","[0, 0, 1, 0, 1]","[-1, -1, 2, -1, -1]"
"['attentive', 'and', 'responsive', 'platform', 'crew']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['well', 'lit', 'emergency', 'routes', 'were', 'clear']","[0, 0, 1, 2, 0, 0]","[-1, -1, 2, 2, -1, -1]"
"['some', 'areas', 'need', 'deep', 'cleaning']","[0, 1, 0, 1, 2]","[-1, 0, -1, 0, 0]"
"['security', 'staff', 'were', 'very', 'reassuring']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['staff', 'were', 'vigilant', 'about', 'station', 'security']","[1, 0, 0, 0, 1, 2]","[2, -1, -1, -1, 2, 2]"
"['too', 'much', 'external', 'noise', 'came', 'through']","[0, 0, 1, 2, 0, 0]","[-1, -1, 0, 0, -1, -1]"
"['staff', 'knowledgeable', 'about', 'routes', 'times']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['safety', 'regulations', 'were', 'strictly', 'followed']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['smooth', 'uninterrupted', 'travel', 'was', 'great']","[0, 0, 2, 0, 0]","[-1, -1, 2, -1, -1]"
"['overall', 'high', 'level', 'of', 'passenger', 'safety']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
"['high', 'level', 'of', 'passenger', 'safety']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['very', 'good', 'hygiene', 'practices', 'evident']","[0, 0, 1, 2, 0]","[-1, -1, 2, 2, -1]"
"['new', 'information', 'screens', 'are', 'bright']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['very', 'few', 'places', 'to', 'sit']","[0, 0, 1, 0, 0]","[-1, -1, 0, -1, -1]"
"['station', 'felt', 'somewhat', 'dingy', 'today']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['dust', 'coated', 'most', 'available', 'surfaces']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['public', 'announcement', 'speakers', 'were', 'loud']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['staff', 'handled', 'complaint', 'very', 'professionally']","[1, 0, 1, 0, 0]","[2, -1, 2, -1, -1]"
"['ticketing', 'staff', 'were', 'very', 'understanding']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['announcements', 'were', 'garbled', 'and', 'unclear']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['ride', 'was', 'too', 'rough', 'for', 'comfort']","[1, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]"
"['smooth', 'journey', 'with', 'no', 'bumps']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['toilet', 'had', 'a', 'blocked', 'drain']","[1, 0, 0, 0, 2]","[0, -1, -1, -1, 0]"
"['dust', 'lay', 'thick', 'on', 'ledges']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['broken', 'light', 'fixture', 'hung', 'dangerously']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['dim', 'corridors', 'raised', 'safety', 'concerns']","[0, 1, 0, 1, 2]","[-1, 0, -1, 0, 0]"
"['peaceful', 'atmosphere', 'for', 'a', 'nap']","[0, 2, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['excellent', 'standard', 'of', 'overall', 'tidiness']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['website', 'lacked', 'up', 'to', 'date', 'information']","[1, 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]"
"['uneven', 'pavement', 'outside', 'station', 'entrance']","[0, 1, 0, 1, 2]","[-1, 0, -1, 0, 0]"
"['guards', 'maintained', 'a', 'strong', 'presence']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['staff', 'were', 'too', 'busy', 'socializing']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['overall', 'station', 'security', 'felt', 'robust']","[1, 2, 2, 0, 0]","[2, 2, 2, -1, -1]"
"['station', 'security', 'felt', 'robust']","[1, 2, 0, 0]","[2, 2, -1, -1]"
"['digital', 'signage', 'was', 'bright', 'informative']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['service', 'level', 'exceeded', 'my', 'expectations']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['a', 'very', 'well', 'cleaned', 'and', 'maintained', 'station']","[0, 0, 0, 0, 0, 0, 1]","[-1, -1, -1, -1, -1, -1, 2]"
"['no', 'apology', 'for', 'the', 'delay']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['quiet', 'ride', ',', 'very', 'relaxing', '.']","[0, 1, 0, 0, 0, 0]","[-1, 2, -1, -1, -1, -1]"
"['lighting', 'levels', 'were', 'adequate', 'everywhere']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['poor', 'service', 'recovery', 'after', 'complaint']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['smooth', 'and', 'very', 'quiet', 'train', 'ride']","[0, 0, 0, 0, 1, 2]","[-1, -1, -1, -1, 2, 2]"
